nid	mid	fields
1372991521105	1370967993347	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card031.jpg" />	<img src="zapominaiki_ru_matematika_01_deistvitelnye_chisla_card032.jpg" />
1372992525169	1370967993347	<img src="zapominaiki_ru_matematika_02_algebra_card175.jpg" />	<img src="zapominaiki_ru_matematika_02_algebra_card176.jpg" />
1449568688777	1448816860355	Определение вероятности (на дискретном выборочном пространстве)	<img src="paste-1842540969986.jpg" />
1449574830546	1448816860355	<img src="paste-13881334300674.jpg" />	<img src="paste-13907104104450.jpg" />
1449568359166	1448816860355	2 описания sample space (выборочного пространства). На примере 2 бросков четырехгранника	<img src="paste-807453851650.jpg" />
1450786520845	1448816860355	Общий подход к поиску в графах. Цели, описание алгоритма, желаемое время выполнения?	<img src="paste-20620137988098.jpg" />
1449673221814	1448816860355	Описать традиционный алгоритм умножения целых чисел и посчитать кол-во элементарных операций	<img src="paste-9032316223490.jpg" /><div><br /></div><div>------------------------------------</div><div><br /></div><div><img src="paste-9088150798338.jpg" /></div>
1449676299651	1448816860355	Главный принцип алгоритмиста (The Algorithm Designer’s Mantra)	Всегда быть недовольным и задавать себе вопрос "Как это можно оптимизировать"?<div><br /></div><div><img src="paste-9178345111554.jpg" /></div>
1449676381706	1448816860355	Умножение Карацубы - описать по шагам	<img src="paste-9375913607170.jpg" /><div><br /></div><div><br /></div><div><img src="paste-9388798509058.jpg" /></div><div><br /></div>
1449677300051	1448816860355	Сортировка выбором - псевдокод, время выполнения&nbsp;и сортировка произвольного массива из 7 элементов	<img src="paste-9599251906562.jpg" />&nbsp;<img src="Selection-Sort-Animation.gif" /><div><br /></div><div><img src="paste-20010252632066.jpg" /></div>
1449681157320	1448816860355	Пузырьковая сортировка - псевдокод, время выполнения и сортировка произвольного массива из 7 элементов	<div><img src="Bubble-sort-example-300px.gif" /></div><img src="paste-9702331121666.jpg" /><div><br /></div><div><img src="paste-20005957664770.jpg" /></div>
1449681330028	1448816860355	Сортировка вставками - псевдокод, время выполнения и сортировка произвольного массива из 7 элементов	<div><img src="280px-Insertion-sort-example-300px.gif" /></div><img src="paste-21414706937858.jpg" /><div><br /></div><div><br /></div><div><img src="paste-21539260989442.jpg" /></div>
1449683592361	1448816860355	Сортировка слиянием (merge sort)<div><br /></div><div>1) Псевдокод</div><div>2) Отсортировать произвольный массив из 7 элементов</div><div>3) Анализ кол-ва операций при помощи построения дерева рекурсии</div>	<img src="paste-22256520527874.jpg" /><div><br /></div><div><img src="paste-22303765168130.jpg" /></div><div><br /></div><div><br /></div><div><img src="paste-22325240004610.jpg" /></div><div><br /></div><div><br /></div><div><br /></div><div>При условии, что одно Слияние занимает 6n операций,</div><div><br /></div><div><br /></div><div><img src="paste-22514218565634.jpg" /></div><div><br /></div>
1449683909171	1448816860355	3 принципа анализа алгоритмов	1) Worst case. Почти всегда скорость работы алгоритма рассматиривается для наихудшего случая. В отдельных случаях, для среднего, но редко.<div><br /><div>2) Пренебрегаем постоянными множителями и медленно растущими слагаемыми в формулах скорости работы алгоритма (O-анализ)</div><div><br /></div><div>3) Ассимптотический анализ. Т.е. рассматирваем работу алгоритма только при больших объемах входных данных. n -&gt; бесконечность.</div></div>
1449685141214	1448816860355	Что такое быстрый алгоритм?	<img src="paste-24700356919298.jpg" />
1449749539941	1448816860355	Определение&nbsp;T(n) = O(f(n)) + иллюстрация	<img src="paste-5536212844546.jpg" />
1449754590679	1448816860355	Omega, Theta, small-o notations. Defenitions	<img src="paste-5750961209346.jpg" /><img src="paste-5772436045826.jpg" /><div><br /></div><div><br /></div><div><img src="paste-5793910882306.jpg" /></div><div><br /></div>
1449846027043	1448816860355	Сформулировать (ввод и вывод) задачу поиска кол-во перестановок в массиве<div><br /></div><div>Пример применения алгоритма в жизни</div><div><br /></div><div>Пример решения на бумаге при помощи рисунка (графа)</div>	<img src="paste-708669603842.jpg" /><div><br /></div><div>Применяется, например для создания рекомендательного сервиса. Есть 2 списка оценок фильмов от 2 пользователей и надо оценить, насколько они похожи.</div><div><br /></div><div><br /></div><div><img src="paste-751619276802.jpg" /></div><div><br /></div>
1449846211884	1448816860355	Какое наибольшее кол-во инверсий может быть в массиве длины n?	<img src="paste-876173328386.jpg" /><div><br /></div><div>В случае, если массив отсортирован в обратном порядке, любая пара - инверсия. Поэтому число инверсий = числу способов выбрать пару</div>
1449846308342	1448816860355	Рекурсивный алгоритм поиска кол-ва инверсий в массиве<div><br /></div><div>Идея, псевдокод, время выполнения</div><div><br /></div><div>Посчитать кол-во инверсий в произвольном массиве из 7 элементов 2 способами: рисунком и алгоритмом. Сравнить.</div>	За основу берется MergeSort.<div><br /><div>Функция Merge при этом заменяется на функцию CountSplitInv(B,C). Она также сливает 2 отсортированных массива в 1, но при этом еще и считает кол-во элементов в C, которые больше элементов B (попарно).</div></div><div><br /></div><div>Т.е. если B = [1,3,5] , C = [2,4,6] ,</div><div>функция вернет пару значений ([1,2,3,4,5,6], 3)</div><div>Второй элемент равен 3, т.к. 2&lt;3, 2&lt;5, 4&lt;5. Т.е. 3 пары элементов C[i] &lt; B[j]</div><div><br /></div><div>В остальном алгоритм работает как MergeSort:</div><div><br /></div><div><div><i>SortAndCount (array A):</i></div><div><i>&nbsp; &nbsp; if len(A) == 1: return (A, 0)</i></div><div><i>&nbsp; &nbsp;&nbsp;</i></div><div><i>&nbsp; &nbsp; (B,X) = SortAndCount(1st-half-of-A)</i></div><div><i>&nbsp; &nbsp; (C,Y) = SortAndCount(2nd-half-of-A)</i></div><div><i>&nbsp; &nbsp; (D,Z) = CountSplitInv(B,C)</i></div><div><i>&nbsp; &nbsp; return (D, X+Y+Z)</i></div></div><div><i><br /></i></div><div>Функция CountSplitInv полностью аналогичная Merge в алгоритме сортировки. Но каждый раз, когда из 2 массива (C) извлекается элемент, к вол-ву инвертированных пар (C[i] &lt; B[j]) добавляется кол-во элементов, оставшихся в массиве B.</div><div><br /></div><div>Пример: B = [1,3,5] , C = [2,4,6]&nbsp;</div><div><br /></div><div>1. Извлекаем 1 из В, т.к. 1&lt;2</div><div>2. Извлекаем 2 из C, т.к. 2&lt;3. Поскольку в B осталось 2 элемента, добавляем 2 к общему числу инверсий. Эти 2 инверсии соответствуют парам 2&lt;3 и 2&lt;5.</div><div>3. Извлекаем 3 из B</div><div>4. Извлекаем 4 из C. Поскольку в B остался 1 элемент, добавляем 1 к общему числу инверсий. Это инверсия 4&lt;5.</div><div>5. Извлекаем 5 из B</div><div>6. Извлекаем 6 из C</div><div><br /></div><div>Итого 3 инверсии.</div><div><br /></div><div><br /></div><div>Время выполнения n*log(n) аналогично MergeSort().</div>
1449933938300	1448816860355	Подход "разделяй и властвуй": 3 основных шага	<img src="paste-19039590023170.jpg" />
1449935731565	1448816860355	Простой рекурсивный алгоритм перемножения матриц. Идея, время выполнения.<div><br /></div><div>Алгоритм Штрассена. Идея, примерное время выполнения</div>	<img src="paste-19533511262210.jpg" /><div><br /></div><div><img src="paste-19554986098690.jpg" /></div><div><br /></div><div><br /></div><div><img src="paste-19645180411906.jpg" /></div><div><br /></div><div><br /></div>
1449935895721	1448816860355	Поиск 2 ближайших элементов в массиве. Идея, время выполнения алгоритма	<img src="paste-20650202759170.jpg" />
1450004454438	1448816860355	Формула времени выполнения для рекурсивных алгоритмов (Master Method)<div><br /></div><div>Посчитать примеры:</div><div>- Merge Sort</div><div>- Binary Search</div><div>- Алгоритм умножения целых чисел с 3 и 4 рекурсивными вызовами</div><div>- Алгоритм Штрассена</div>	<img src="paste-854698491906.jpg" /><div><br /></div><div><br /></div><div>- Merge sort</div><div><br /></div><div><img src="paste-867583393794.jpg" /></div><div><br /></div><div><br /></div><div>- Binary search</div><div><br /></div><div><img src="paste-1932735283202.jpg" /></div><div><br /></div><div>- Алгоритм умножения целых чисел с 3 и 4 рекурсивными вызовами</div><div><br /></div><div><img src="paste-953482739714 (1).jpg" /></div><div><br /></div><div><br /></div><div><img src="paste-2280627634178.jpg" /></div><div><br /></div><div><br /></div><div>- Алгоритм Штрассена для умножения матриц</div><div><br /></div><div><img src="paste-1176821039106.jpg" /></div><div><br /></div>
1450004886387	1448816860355	Формула времени выполнения для рекурсивных алгоритмов (Master Method)<div>Доказательство</div>	<img src="paste-5600637353986.jpg" /><div><br /></div><div><br /></div><div>1. Построим дерево рекурсии для общего случая, посчитаем кол-во операция для каждого уровня и просуммируем их по всем уровням, чтобы получить общее кол-во операций.</div><div><br /></div><div><img src="paste-5613522255874.jpg" /></div><div><img src="paste-5652176961538.jpg" /></div><div><img src="paste-5690831667202.jpg" /></div><div><br /></div><div><br /></div><div>2. Теперь посчитаем эту сумму в O-нотации для всех 3 случаев.</div><div><br /></div><div><br /></div><div>Вспомним формулу для геометрической прогрессии и ее пределы для r&lt;1 и r&gt;1</div><div><br /></div><div><img src="paste-6094558593026.jpg" /></div><div><br /></div><div><br /></div><div><br /></div><div><i><b>- 1 случай</b></i></div><div><img src="paste-6236292513794.jpg" /></div><div><br /></div><div><br /></div><div><br /></div><div><b><i>- 2 случай</i></b></div><div><img src="paste-6841882902530.jpg" /></div><div><b><i><br /></i></b></div><div><b><i><br /></i></b></div><div><b><i><br /></i></b></div><div><b><i>- 3 случай</i></b></div><div><img src="paste-7352984010754.jpg" /></div><div><br /></div>
1450088910822	1448816860355	Быстрая сортировка - 2 основные характеристики	- Не требует дополнительной памяти. Сортирует массив "на месте" (in-place sorting)<div>- Время выполнения - в среднем O(n*log n). Теоретически может быть до n*n, но на больших входных данных вероятность исчезающе мала</div>
1450089631891	1448816860355	Быстрая сортировка - идея и псевдокод алгоритма в целом без вспомогательных ф-й	<img src="paste-1065151889410.jpg" />
1450089896426	1448816860355	Быстрая сортировка - процедура разделения массива. 2 подхода	<b>1. Простой. Использует O(n) вспомогательной памяти.</b><div>Создаем копию массива того же размера, но пустую.</div><div>Проходимся 1 раз по исходному массиву и если элемент больше опорного, того копируем в конец массива. Если меньше - в начало. В итоге останется только сам опорный элемент и 1 пустой слот. Туда его и копируем.</div><div><div><br /></div><div><img src="paste-1352914698242.jpg" /></div></div><div><b><br /></b></div><div><b>2. In-place. O(1) вспомогательной памяти.</b></div><div>Помещаем опорный элемент на первое место сортируемой части массива и создаем 2 счетчика i, j. Проверяем в цикле элементы на позициях i и j, если A[j] меньше опорного элемента меняем их местами + передвигаем i на 1 элемент вперед. В итоге на каждом шаге все элементы меньше опорного находятся между опорным и i. Больше опорного - между i и j. Неотсортированные - больше j.</div><div><br /></div><div><img src="paste-1644972474370.jpg" /></div><div><br /></div><div>Псевдокод</div><div><br /></div><div><br /></div><div><img src="paste-1915555414018.jpg" /></div><div><br /></div>
1450091064379	1448816860355	Доказать корректность алгоритма быстрой сортировки	<img src="paste-2207613190146.jpg" /><div><br /></div><div><img src="paste-2220498092034.jpg" /></div><div><br /></div>
1450093781671	1448816860355	Каково время исполнения алгоритма быстрой сортировки при условии, что<div>1) Мы всегда выбираем опорным элементов первый элемент</div><div>2) Массив уже отсортирован</div>	O(n^2)
1450167441892	1448816860355	Принцип декомпозиции рандомизированных алгоритмов (3 шага)	<img src="paste-4479650889730.jpg" /><div><br /></div><div><br /></div><div>Xe - такая случайная величина, которая как правило принимает значения 0 и 1. Т.е. например происходит ли сравнение 2 конкретных элементов i и j. Поэтому на 3 шаге по определению мат. ожидания суммируются только вероятности того, что для каждого элемента Xe = 1.</div>
1450167679427	1448816860355	Анализ времени выполнения алгоритма быстрой сортировки со случайным выбором опорного элемента	<img src="paste-4797478469634.jpg" /><div><br /></div><div><img src="paste-4870492913666.jpg" /></div><div><br /></div>
1450171211867	1448816860355	Алгоритм выбора (selection) - формулировка задачи	<img src="paste-5261334937602.jpg" />
1450178790957	1448816860355	Алгоритм выбора (selection) - псевдокод и возможное время выполнения	<u><b>Логика:</b></u><div><br /></div><div><img src="paste-5463198400514.jpg" /></div><div><br /></div><div><br /></div><div><b><u>Время выполнения:</u></b></div><div><br /></div><div><img src="paste-5484673236994.jpg" /></div><div><br /></div>
1450602739726	1448816860355	Доказать, что рандомизированный алгоритм выбора имеет среднее время выполнения O(n)	<img src="paste-597000454146.jpg" /><div><br /></div><div><img src="paste-631360192514 (1).jpg" /></div><div><br /></div><div><br /></div><div><img src="paste-712964571138.jpg" /></div><div><br /></div><div><br /></div><div><img src="paste-828928688130.jpg" /></div><div><br /></div><div><br /></div>
1450602926664	1448816860355	Доказать, что минимальное время выполнения любого алгоритма сортировки, основанного на сравнениях, равна O(n*log n)	<img src="paste-1129576398850.jpg" />
1450604151132	1448816860355	Задача о минимальном разрезе (minimal cut) графа. Формулировка и практическое применение (3 примера)	<img src="paste-1421634174978.jpg" /><div><br /></div><div><br /></div><div>Примеры:</div><div><br /></div><div><br /></div><div><img src="paste-1434519076866.jpg" /></div>
1450609247326	1448816860355	Редкие и плотные (sparse, dense) графы. Интуитивное определение.	<img src="paste-1619202670594.jpg" />
1450610225162	1448816860355	2 основные способа представления графа в программировании. Сколько памяти требуют? От чего зависит выбор (2 критерия)?	<img src="paste-1700807049218.jpg" /><div><br /></div><div><img src="paste-1713691951106.jpg" /></div>
1450610357332	1448816860355	Алгоритм Каргера (алгоритм стягивания) графа. Идея, пример, вывод.	<img src="paste-1928440315906 (1).jpg" /><div><br /></div><div><br /></div><div><u>Пример:</u></div><div><br /></div><div><img src="paste-1941325217794.jpg" /></div><div><br /></div><div><u><br /></u></div><div><u>Другой выбор ребер:</u></div><div><br /></div><div><img src="paste-2005749727234.jpg" /></div><div><br /></div><div>Видим, что алгоритм не всегда ищет именно минимальный разрез.</div><div>Соответственно, вопрос: с какой вероятностью он это делает?</div>
1450611222072	1448816860355	Посчитать вероятность, с которой алгоритм Каргера (contraction cut) выдает минимальный разрез. Вывод.	<img src="paste-2349347110914.jpg" /><div><br /></div><div><img src="paste-2405181685762.jpg" /></div><div><br /></div><div><img src="paste-2435246456834.jpg" /></div><div><br /></div><div><br /></div><div><img src="paste-2542620639234.jpg" /></div><div><br /></div><div><br /></div><div><br /></div><div>Вероятность найти минимальный разрез при однократном выполнении очень маленькая, но 1/n<sup>2</sup>&nbsp;(вероятность найти разрез алгоритмом) гораздо больше, чем просто выбрать его наугад (1/2<sup>n</sup>&nbsp;, 2<sup>n</sup>&nbsp;- кол-во разрезов). Соответственно, выполнить алгоритм много раз и найти минимальный разрез таким образом выгоднее, чем найти его перебором.</div>
1450614838491	1448816860355	Посчитать вероятность ошибки, если мы запустили&nbsp;Алгоритм Каргера для нахождения минимального разреза N раз и выбрали наименьший из полученных разрезов.<div>Какое значение N разумно выбрать?</div><div>Какое получится время выполнения всего алгоритма в целом (включая повторения)?</div>	<img src="paste-4561255268354.jpg" /><div><br /></div><div><img src="paste-4574140170242.jpg" /></div><div><br /></div>
1450615121941	1448816860355	Сколько минимальных разрезов может иметь граф с n вершинами? Вывести ответ.	<b>Ответ:</b>&nbsp;<div>От 1 до&nbsp;<img src="paste-4767413698562.jpg" /></div><div><br /></div><div><br /></div><div><b>Док-во:</b></div><div><br /></div><div><img src="paste-4831838208002 (1).jpg" /></div><div><br /></div>
1450788453791	1448816860355	Общий подход к поиску в графах. Цели, общая идея алгоритма, желаемое время	<img src="paste-27934467293186.jpg" />
1450788538893	1448816860355	Доказать, что принятом общем подходе к поиску в графах вершина оказывается пройдена тогда и только тогда, когда есть путь в данную вершину из вершины, с которой начался обход.	<img src="paste-28084791148546.jpg" />
1450788634129	1448816860355	Поиск в ширину и в глубину. Общее описание, отличие	<img src="paste-28162100559874.jpg" />
1451307010275	1448816860355	Рекурсивный метод решения задачи нечеткого сравнения строк. Описание, псевдокод, время выполнения.	<img src="paste-9461812953090.jpg" /><div><img src="paste-9517647527938.jpg" /></div><div><br /></div>
1449479713919	1448816860355	Среднее значение, дисперсия (2 формулы) - опр, смысл	<img src="paste-6725918785538.jpg" />
1449165024344	1448816860355	<div>Сколько существует различных четырехзначных положительных чисел, ес-</div><div>если, по крайней мере, две цифры в числе совпадают?</div>	10^4 - 10 x 9 x 8 x 7
1449165131372	1448816860355	<div>Сколько существует четырехзначных чисел, содержащих хотя бы одну цифру 7?</div>	10^4 - 9^4
1451738776920	1448816860355	Проблема распознавания цифр. Описать задачу и подход.	см. лекцию 21 целиком.
1451513710987	1448816860355	5 элементов эффективного мышления. Перечислить (с мнемоникой), привести примеры	Мнемоника. 5 элементов = 4 стихии + изменение<div><br /></div><div><b>1. Понимать глубже простые вещи. (земля)</b></div><div>Пример: известный трубач спрашивает на мастер-классе каждого ученика, сколько времени он тратит на гаммы. А в конце играет гамму так, что все замирают от удивления.</div><div><br /></div><div><b>2. Делать ошибки и учиться на них</b>.&nbsp;<b>(огонь)</b></div><div>Пример: профессор просит студента решить сложную задачу, до которой тот по идее не должен дойти сам. Студент дает неверное решение. Профессор указывает на ошибку и дает студенту еще подумать. При этом не давая посказок, только указывая что не так. После нескольких проб и ошибок студент все-таки решает задачу, причем нетрадиционным, но очень креативым способом.</div><div><br /></div><div><b>3. Постоянно задавать вопросы. В том числе самому себе.&nbsp;</b><b>(воздух - "raise questions")</b></div><div><b><br /></b></div><div><b>4. Следовать потоку идеи. (вода)</b></div><div>Когда приходит идея, надо анализировать, откуда она взялась и куда может привести.</div><div><b><br /></b></div><div><b>5. Постоянно меняться, постоянно улучшать себя.</b></div><div>практикуя подходы из первых 4 пунктов.</div>
1451514823711	1448816860355	Есть весы и 9 монет, одна из которых 1 фальшивая (весит больше). Как при помощи 2 взвешиваний найти ее?<div><br /></div><div>Решение и стратегические советы (3 шт), которые помогают решить подобные задачи.</div>	<div><u>Решение:</u></div><div><br /></div>Положить по 3 монеты на каждую чашу. Если одна перевесит, то фальшивая монета на ней. Если обе одинаковые - то фальшивая монета среди тех 3, которые не взвешивали.<div><br /></div><div>Таким образом мы знаем, в какой части из 3 монет находится фальшивая.</div><div><br /></div><div>Взвешиваем 2 из этих 3 монет. Если одна перевесила, то она фальшивая. Если нет, то фальшивая - та, которую не взвешивали.</div><div><br /></div><div><u>Советы:</u></div><div>1. <b>Первым делом выделить суть</b>. Если задача имеет "красивую обертку", т.е. рассказана в виде истории с именами, эмоциями и прочими несущественными деталями, то ее надо "развернуть", оставив только нужное. Это важно, т.к. подобное очень часто бывает в жизни. Математические проблемы почти всегда возникают в контексте, который легко может запутать. (принцип "понимать глубже")</div><div><br /></div><div>2. <b>Надо сразу что-то пробовать</b>, даже если задача кажется очень пугающей. Очень многие люди даже не пытаются. (принцип "ошибаться, но делать")</div><div>Например, в этой задаче хорошо начать с рассуждения, что надо взвешивать только равно кол-во монет, т.к. мы не знаем, насколько фальшивая монета отличается по весу от обычной и никак не можем это измерить.</div><div>Далее логичным шагом (хоть и неверным, но сейчас это не важно) будет отбросить 1 монету и взвесить по 4. Т.е. в любом случае, начинаем разрабатывать какую-либо стратегию или концепцию и проверять ее.</div><div><br /></div><div>3. <b>Не отбрасывать идеи, тщательно их не проверив</b>. В этой конкретной задаче люди часто сразу решают, что надо взвешивать по 4 монеты и даже если в какой-то момент приходит идея о 3 монетах, они ее забраковывают.</div><div>Правильный путь - выписать все возможные взвешивания (разумеется, в которых поровну монет) и проверить, к чему они приведут.</div><div>Даже взвешивания, которые кажутся абсурдными (например, по 1 монете, 7 остаются), заставляют объяснять и доказывать, почему они не подходят. И тем самым могут привести к правильным результатам.</div>
